 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   582   -1.9828  -705604.505630  -705597.687739
   583   -1.8494  -705662.879197  -705656.889524
   584   -1.9299  -705865.041035  -705858.002149
   585   -1.9631  -705831.744343  -705826.599348
   586   -2.0602  -705582.866446  -705580.376357
   587   -2.0792  -705737.714932  -705731.116829
   588   -2.1350  -705575.751974  -705571.006317
   589   -1.9205  -705693.710219  -705689.254150
   590   -2.0408  -705634.938355  -705628.121260
   591   -1.8361  -705313.841746  -705305.052744
   592   -1.9462  -705524.176782  -705513.718614
   593   -1.7384  -705735.692591  -705726.781630
   594   -1.8836  -705537.162715  -705523.063714
   595   -1.9080  -705413.665138  -705406.661335
   596   -2.2049  -705476.848667  -705472.723360
   597   -1.8748  -705536.094178  -705528.743389
   598   -1.9790  -705343.362493  -705337.925843
   599   -2.0338  -705520.347023  -705515.062796
   600   -2.0078  -705445.643546  -705439.927117
